State: 0	Energy: 314.243282
State: 500	Energy: 20.219450
State: 1000	Energy: 13.425165
State: 1500	Energy: 9.787390
State: 2000	Energy: 7.506427
State: 2500	Energy: 5.919482
State: 3000	Energy: 4.782856
State: 3500	Energy: 3.947502
State: 4000	Energy: 3.302141
State: 4500	Energy: 2.789082
State: 5000	Energy: 2.374071
State: 5500	Energy: 2.034051
State: 6000	Energy: 1.760091
State: 6500	Energy: 1.533511
State: 7000	Energy: 1.347985
State: 7500	Energy: 1.190752
State: 8000	Energy: 1.056616
State: 8500	Energy: 0.943549
State: 9000	Energy: 0.845946
State: 9500	Energy: 0.762737
State: 10000	Energy: 0.689880
State: 10500	Energy: 0.624947
State: 11000	Energy: 0.568492
State: 11500	Energy: 0.518586
State: 12000	Energy: 0.473661
State: 12500	Energy: 0.434628
State: 13000	Energy: 0.399551
State: 13500	Energy: 0.367496
State: 14000	Energy: 0.339151
State: 14500	Energy: 0.313806
State: 15000	Energy: 0.290863
State: 15500	Energy: 0.270138
State: 16000	Energy: 0.251417
State: 16500	Energy: 0.234193
State: 17000	Energy: 0.218611
State: 17500	Energy: 0.204308
State: 18000	Energy: 0.191281
State: 18500	Energy: 0.179236
State: 19000	Energy: 0.168283
State: 19500	Energy: 0.158214
